recommender,district,visits,visit_share,spend,spend_share,run
sustainable,Sarria-Sant Gervasi,719,0.06717742688965711,12547.680000000062,0.07017529730745481,2
popularity,Ciutat Vella,5594,0.5147694855986013,75046.91999999834,0.38505306818564466,3
popularity,Eixample,2387,0.21965583877795158,65417.55999999976,0.3356464487978849,3
popularity,Gracia,1177,0.1083095610564093,24731.639999999923,0.1268938667071613,3
popularity,Horta-Guinardo,31,0.002852673230882488,530.28,0.0027207770951491166,3
popularity,Les Corts,101,0.009294193429649397,2689.4799999999964,0.01379926752255721,3
popularity,Nou Barris,288,0.02650225453206957,3634.2000000000144,0.018646466242722638,3
popularity,Sant Andreu,6,0.0005521303027514493,90.0,0.0004617747955107123,3
popularity,Sant Marti,647,0.05953805098003129,9410.959999999963,0.048286045883994176,3
popularity,Sants-Montjuic,460,0.042329989877611114,9433.480000000054,0.04840159219949355,3
popularity,Sarria-Sant Gervasi,176,0.016195822214042515,3915.679999999997,0.020090692569837608,3
personalized,Ciutat Vella,4574,0.4190563444800733,65816.00000000023,0.36472565998187567,3
personalized,Eixample,1565,0.14338066880439762,34982.22000000009,0.19385731854155766,3
personalized,Gracia,635,0.058176820888685296,12195.279999999904,0.06758131072480428,3
personalized,Horta-Guinardo,247,0.022629409070087037,4465.080000000002,0.0247436679511345,3
personalized,Les Corts,155,0.014200641319285386,3757.9199999999896,0.020824873163958334,3
personalized,Nou Barris,340,0.031149793861658268,4251.960000000018,0.0235626430839999,3
personalized,Sant Andreu,116,0.010627576729271644,1776.960000000001,0.009847193824623068,3
personalized,Sant Marti,1811,0.16591846083371506,23394.38000000005,0.1296421946846782,3
personalized,Sants-Montjuic,1008,0.0923499770957398,21456.679999999953,0.11890424477360927,3
personalized,Sarria-Sant Gervasi,464,0.04251030691708658,8356.959999999977,0.04631089326975381,3
sustainable,Ciutat Vella,3214,0.29975750792762546,47474.2400000003,0.26478739253838124,3
sustainable,Eixample,1163,0.108468569296773,25998.640000000156,0.14500731544399778,3
sustainable,Gracia,779,0.07265435553068457,15031.55999999986,0.08383846857125395,3
sustainable,Horta-Guinardo,514,0.047938817384816264,8980.160000000053,0.05008680815064061,3
sustainable,Les Corts,290,0.027047192687931355,6820.619999999966,0.03804198203689229,3
sustainable,Nou Barris,636,0.05931729155008394,7946.6400000000385,0.04432235429237411,3
sustainable,Sant Andreu,482,0.04495429957097556,7351.19999999997,0.04100128996331753,3
sustainable,Sant Marti,1789,0.1668531990300317,23577.640000000043,0.1315041971774295,3
sustainable,Sants-Montjuic,1141,0.1064167132997575,23608.57999999992,0.131676764909427,3
sustainable,Sarria-Sant Gervasi,714,0.06659205372132065,12502.640000000061,0.06973342691628263,3
popularity,Ciutat Vella,5669,0.5179534033805391,76030.35999999836,0.3859091398667381,4
popularity,Eixample,2445,0.2233896756509822,67314.43999999992,0.3416695336048873,4
popularity,Gracia,1164,0.10634993147555961,24582.559999999932,0.12477429523314976,4
popularity,Horta-Guinardo,25,0.0022841480127912287,353.32000000000005,0.001793354882151273,4
popularity,Les Corts,109,0.009958885335769758,2760.019999999996,0.014009100367471834,4
popularity,Nou Barris,293,0.0267702147099132,3700.0800000000136,0.018780585679696326,4
